GenderSelect,Country,FormalEducation,Tenure,JobFunctionSelect,AlgorithmUnderstandingLevel,WorkDataVisualizations,CompensationUSD,LearningStyle
A different identity,Canada,Bachelor's degree,3 to 5 years,Build prototypes to explore applying machine learning to new areas,Enough to refine and innovate on the algorithm,100% of projects,85000,SelfLearner
Male,Canada,Bachelor's degree,1 to 2 years,Build prototypes to explore applying machine learning to new areas,Enough to explain the algorithm to someone non-technical,10-25% of projects,90000,ClassroomLearner
Male,Canada,Bachelor's degree,6 to 10 years,Build prototypes to explore applying machine learning to new areas,"Enough to code it again from scratch, albeit it may run slowly",51-75% of projects,160000,SelfLearner
Male,Canada,Bachelor's degree,More than 10 years,Analyze and understand data to influence product or business decisions,Enough to code it from scratch and it will run blazingly fast and be super efficient,100% of projects,200000,SelfLearner
Male,Canada,Master's degree,More than 10 years,Analyze and understand data to influence product or business decisions,Enough to explain the algorithm to someone non-technical,100% of projects,30000,ClassroomLearner
Male,Canada,Doctoral degree,More than 10 years,Analyze and understand data to influence product or business decisions,Enough to refine and innovate on the algorithm,51-75% of projects,107624.34,MixLearner
Male,Canada,Doctoral degree,3 to 5 years,Research that advances the state of the art of machine learning,Enough to refine and innovate on the algorithm,100% of projects,38562,JobLearner
Male,Canada,Bachelor's degree,3 to 5 years,Analyze and understand data to influence product or business decisions,Enough to tune the parameters properly,100% of projects,61776.6,MixLearner
Male,Canada,Master's degree,1 to 2 years,Build prototypes to explore applying machine learning to new areas,Enough to explain the algorithm to someone non-technical,76-99% of projects,126847.952,MixLearner
Male,Canada,Doctoral degree,More than 10 years,Research that advances the state of the art of machine learning,Enough to refine and innovate on the algorithm,None,164737.6,SelfLearner
Male,Canada,Master's degree,1 to 2 years,Analyze and understand data to influence product or business decisions,Enough to explain the algorithm to someone non-technical,51-75% of projects,61776.6,MixLearner
Male,Canada,Bachelor's degree,3 to 5 years,Build prototypes to explore applying machine learning to new areas,Enough to explain the algorithm to someone non-technical,100% of projects,57658.16,MixLearner
Male,Canada,Bachelor's degree,3 to 5 years,Analyze and understand data to influence product or business decisions,Enough to explain the algorithm to someone non-technical,51-75% of projects,57658.16,MixLearner
Male,Canada,Bachelor's degree,1 to 2 years,Analyze and understand data to influence product or business decisions,Enough to run the code / standard library,100% of projects,24710.64,SelfLearner
Male,Canada,Master's degree,Less than a year,Analyze and understand data to influence product or business decisions,"Enough to code it again from scratch, albeit it may run slowly",76-99% of projects,59305.536,ClassroomLearner
Female,Canada,Bachelor's degree,More than 10 years,Analyze and understand data to influence product or business decisions,Enough to tune the parameters properly,10-25% of projects,57658.16,JobLearner
Female,Canada,Master's degree,1 to 2 years,Build and/or run a machine learning service that operationally improves your product or workflows,"Enough to code it again from scratch, albeit it may run slowly",51-75% of projects,74131.92,MixLearner
Male,Canada,Master's degree,More than 10 years,Build and/or run a machine learning service that operationally improves your product or workflows,Enough to run the code / standard library,Less than 10% of projects,142498.024,MixLearner
Male,Canada,Master's degree,More than 10 years,Build and/or run a machine learning service that operationally improves your product or workflows,"Enough to code it again from scratch, albeit it may run slowly",26-50% of projects,74131.92,ClassroomLearner
Male,Canada,Doctoral degree,3 to 5 years,Analyze and understand data to influence product or business decisions,"Enough to code it again from scratch, albeit it may run slowly",10-25% of projects,80309.58,MixLearner
Male,Canada,Master's degree,More than 10 years,Research that advances the state of the art of machine learning,Enough to code it from scratch and it will run blazingly fast and be super efficient,100% of projects,82368.8,JobLearner
Male,Canada,Doctoral degree,6 to 10 years,Build and/or run a machine learning service that operationally improves your product or workflows,"Enough to code it again from scratch, albeit it may run slowly",None,10707.944,SelfLearner
Male,Canada,Doctoral degree,6 to 10 years,Build and/or run a machine learning service that operationally improves your product or workflows,"Enough to code it again from scratch, albeit it may run slowly",None,61776.6,MixLearner
Male,Canada,Master's degree,More than 10 years,Analyze and understand data to influence product or business decisions,Enough to explain the algorithm to someone non-technical,76-99% of projects,74131.92,MixLearner
Male,Canada,Bachelor's degree,6 to 10 years,Build and/or run a machine learning service that operationally improves your product or workflows,Enough to tune the parameters properly,26-50% of projects,61776.6,SelfLearner
Male,Canada,Bachelor's degree,1 to 2 years,Analyze and understand data to influence product or business decisions,"Enough to code it again from scratch, albeit it may run slowly",76-99% of projects,49421.28,MixLearner
Male,Canada,Doctoral degree,More than 10 years,Build prototypes to explore applying machine learning to new areas,Enough to refine and innovate on the algorithm,10-25% of projects,197685.12,MixLearner
Male,Canada,Bachelor's degree,More than 10 years,Analyze and understand data to influence product or business decisions,Enough to explain the algorithm to someone non-technical,51-75% of projects,94724.12,MixLearner
Male,Canada,Master's degree,3 to 5 years,Analyze and understand data to influence product or business decisions,Enough to explain the algorithm to someone non-technical,100% of projects,55187.096,ClassroomLearner
Male,Canada,Doctoral degree,More than 10 years,Build prototypes to explore applying machine learning to new areas,"Enough to code it again from scratch, albeit it may run slowly",100% of projects,51892.344,MixLearner
Male,Canada,Master's degree,3 to 5 years,Build and/or run a machine learning service that operationally improves your product or workflows,"Enough to code it again from scratch, albeit it may run slowly",10-25% of projects,70013.48,MixLearner
Male,Canada,Master's degree,More than 10 years,Analyze and understand data to influence product or business decisions,"Enough to code it again from scratch, albeit it may run slowly",76-99% of projects,65895.04,ClassroomLearner
Male,Canada,Master's degree,3 to 5 years,"Build and/or run the data infrastructure that your business uses for storing, analyzing, and operationalizing data","Enough to code it again from scratch, albeit it may run slowly",51-75% of projects,53539.72,MixLearner
Male,Canada,Master's degree,6 to 10 years,Build and/or run a machine learning service that operationally improves your product or workflows,Enough to refine and innovate on the algorithm,26-50% of projects,88134.616,MixLearner
Male,Canada,Bachelor's degree,3 to 5 years,Other,Enough to explain the algorithm to someone non-technical,76-99% of projects,68366.92769,SelfLearner
Male,Canada,Master's degree,3 to 5 years,"Build and/or run the data infrastructure that your business uses for storing, analyzing, and operationalizing data",Enough to explain the algorithm to someone non-technical,76-99% of projects,49421.28,ClassroomLearner
Male,Canada,Bachelor's degree,1 to 2 years,Build and/or run a machine learning service that operationally improves your product or workflows,Enough to explain the algorithm to someone non-technical,10-25% of projects,100489.936,MixLearner
Male,Canada,Doctoral degree,3 to 5 years,Other,"Enough to code it again from scratch, albeit it may run slowly",100% of projects,21415.888,SelfLearner
Male,Canada,Doctoral degree,More than 10 years,Analyze and understand data to influence product or business decisions,Enough to explain the algorithm to someone non-technical,100% of projects,172974.48,ClassroomLearner
Female,Canada,Doctoral degree,3 to 5 years,Build and/or run a machine learning service that operationally improves your product or workflows,Enough to explain the algorithm to someone non-technical,51-75% of projects,57658.16,SelfLearner
Male,Canada,Master's degree,6 to 10 years,Build prototypes to explore applying machine learning to new areas,Enough to explain the algorithm to someone non-technical,51-75% of projects,74131.92,SelfLearner
Male,Canada,Doctoral degree,3 to 5 years,Build and/or run a machine learning service that operationally improves your product or workflows,Enough to refine and innovate on the algorithm,100% of projects,82368.8,SelfLearner
Male,Canada,Some college/university study without earning a bachelor's degree,3 to 5 years,"Build and/or run the data infrastructure that your business uses for storing, analyzing, and operationalizing data",Enough to code it from scratch and it will run blazingly fast and be super efficient,26-50% of projects,88134.616,MixLearner
Male,Canada,Some college/university study without earning a bachelor's degree,3 to 5 years,Build prototypes to explore applying machine learning to new areas,Enough to run the code / standard library,76-99% of projects,84016.176,ClassroomLearner
Male,Canada,Master's degree,3 to 5 years,Build and/or run a machine learning service that operationally improves your product or workflows,"Enough to code it again from scratch, albeit it may run slowly",Less than 10% of projects,90605.68,SelfLearner
Male,Canada,Master's degree,3 to 5 years,Analyze and understand data to influence product or business decisions,"Enough to code it again from scratch, albeit it may run slowly",100% of projects,24710.64,ClassroomLearner
Male,Canada,Master's degree,1 to 2 years,Build prototypes to explore applying machine learning to new areas,Enough to explain the algorithm to someone non-technical,100% of projects,20592.2,MixLearner
Male,Canada,Master's degree,More than 10 years,Analyze and understand data to influence product or business decisions,Enough to explain the algorithm to someone non-technical,100% of projects,98842.56,MixLearner
Female,Canada,Master's degree,3 to 5 years,Build and/or run a machine learning service that operationally improves your product or workflows,Enough to explain the algorithm to someone non-technical,26-50% of projects,49421.28,ClassroomLearner
Male,Canada,Bachelor's degree,More than 10 years,Analyze and understand data to influence product or business decisions,Enough to explain the algorithm to someone non-technical,Less than 10% of projects,98842.56,SelfLearner
Male,Canada,Bachelor's degree,Less than a year,Build and/or run a machine learning service that operationally improves your product or workflows,"Enough to code it again from scratch, albeit it may run slowly",Less than 10% of projects,70013.48,MixLearner
"Non-binary, genderqueer, or gender non-conforming",Canada,Master's degree,Less than a year,Analyze and understand data to influence product or business decisions,Enough to run the code / standard library,100% of projects,47773.904,SelfLearner
Male,Canada,Master's degree,1 to 2 years,"Build and/or run the data infrastructure that your business uses for storing, analyzing, and operationalizing data","Enough to code it again from scratch, albeit it may run slowly",10-25% of projects,115316.32,MixLearner
Male,Canada,Doctoral degree,More than 10 years,"Build and/or run the data infrastructure that your business uses for storing, analyzing, and operationalizing data",Enough to explain the algorithm to someone non-technical,26-50% of projects,82368.8,MixLearner
Male,Canada,Bachelor's degree,More than 10 years,Build and/or run a machine learning service that operationally improves your product or workflows,"Enough to code it again from scratch, albeit it may run slowly",76-99% of projects,115316.32,MixLearner
Male,Canada,Master's degree,More than 10 years,Research that advances the state of the art of machine learning,Enough to explain the algorithm to someone non-technical,51-75% of projects,67542.416,MixLearner
Male,Canada,Master's degree,6 to 10 years,Other,"Enough to code it again from scratch, albeit it may run slowly",100% of projects,111197.88,MixLearner
Male,Canada,Doctoral degree,6 to 10 years,Analyze and understand data to influence product or business decisions,Enough to refine and innovate on the algorithm,26-50% of projects,82368.8,JobLearner
Male,Canada,Doctoral degree,More than 10 years,Build and/or run a machine learning service that operationally improves your product or workflows,Enough to refine and innovate on the algorithm,Less than 10% of projects,82368.8,ClassroomLearner
Male,Canada,Doctoral degree,1 to 2 years,Build and/or run a machine learning service that operationally improves your product or workflows,"Enough to code it again from scratch, albeit it may run slowly",51-75% of projects,65895.04,JobLearner
Male,Canada,Master's degree,3 to 5 years,Build prototypes to explore applying machine learning to new areas,Enough to explain the algorithm to someone non-technical,76-99% of projects,28829.08,MixLearner
Male,Canada,Master's degree,More than 10 years,Analyze and understand data to influence product or business decisions,Enough to tune the parameters properly,Less than 10% of projects,98842.56,MixLearner
Male,Canada,Bachelor's degree,3 to 5 years,"Build and/or run the data infrastructure that your business uses for storing, analyzing, and operationalizing data",Enough to run the code / standard library,76-99% of projects,58481.848,SelfLearner
Male,Canada,Bachelor's degree,3 to 5 years,"Build and/or run the data infrastructure that your business uses for storing, analyzing, and operationalizing data",Enough to explain the algorithm to someone non-technical,51-75% of projects,61776.6,SelfLearner
Female,Canada,Bachelor's degree,3 to 5 years,Analyze and understand data to influence product or business decisions,Enough to run the code / standard library,26-50% of projects,41184.4,SelfLearner
Male,Canada,Doctoral degree,More than 10 years,Build and/or run a machine learning service that operationally improves your product or workflows,Enough to refine and innovate on the algorithm,26-50% of projects,74131.92,SelfLearner
Male,Canada,Doctoral degree,3 to 5 years,Analyze and understand data to influence product or business decisions,Enough to explain the algorithm to someone non-technical,76-99% of projects,20592.2,SelfLearner
Male,Canada,Doctoral degree,6 to 10 years,Build prototypes to explore applying machine learning to new areas,"Enough to code it again from scratch, albeit it may run slowly",76-99% of projects,53539.72,MixLearner
Male,Canada,Master's degree,Less than a year,Build prototypes to explore applying machine learning to new areas,Enough to explain the algorithm to someone non-technical,26-50% of projects,74131.92,MixLearner
Male,Canada,Doctoral degree,6 to 10 years,Build and/or run a machine learning service that operationally improves your product or workflows,"Enough to code it again from scratch, albeit it may run slowly",10-25% of projects,53539.72,MixLearner
Male,Canada,Master's degree,6 to 10 years,Analyze and understand data to influence product or business decisions,Enough to explain the algorithm to someone non-technical,Less than 10% of projects,82368.8,SelfLearner
Male,Canada,Master's degree,3 to 5 years,Build and/or run a machine learning service that operationally improves your product or workflows,Enough to run the code / standard library,51-75% of projects,82368.8,ClassroomLearner
Male,Canada,Doctoral degree,More than 10 years,Build prototypes to explore applying machine learning to new areas,"Enough to code it again from scratch, albeit it may run slowly",76-99% of projects,82368.8,SelfLearner
Male,Canada,Bachelor's degree,1 to 2 years,Analyze and understand data to influence product or business decisions,Enough to tune the parameters properly,100% of projects,86487.24,MixLearner
Male,Canada,Bachelor's degree,Less than a year,Build and/or run a machine learning service that operationally improves your product or workflows,Enough to run the code / standard library,100% of projects,37065.96,ClassroomLearner
Male,Canada,Bachelor's degree,3 to 5 years,"Build and/or run the data infrastructure that your business uses for storing, analyzing, and operationalizing data","Enough to code it again from scratch, albeit it may run slowly",76-99% of projects,68366.104,MixLearner
Female,Canada,Master's degree,1 to 2 years,Other,Enough to explain the algorithm to someone non-technical,10-25% of projects,185329.8,ClassroomLearner
Male,Canada,Master's degree,6 to 10 years,Research that advances the state of the art of machine learning,"Enough to code it again from scratch, albeit it may run slowly",100% of projects,41184.4,MixLearner
Male,Canada,Master's degree,3 to 5 years,Build prototypes to explore applying machine learning to new areas,Enough to explain the algorithm to someone non-technical,51-75% of projects,72072.7,MixLearner
Male,Canada,Master's degree,3 to 5 years,Build prototypes to explore applying machine learning to new areas,Enough to explain the algorithm to someone non-technical,76-99% of projects,58481.848,MixLearner
Female,Canada,Master's degree,1 to 2 years,Other,Enough to run the code / standard library,100% of projects,16473.76,SelfLearner
Male,Canada,Bachelor's degree,More than 10 years,Analyze and understand data to influence product or business decisions,Enough to explain the algorithm to someone non-technical,76-99% of projects,160619.16,MixLearner
Male,Canada,Some college/university study without earning a bachelor's degree,More than 10 years,Build prototypes to explore applying machine learning to new areas,"Enough to code it again from scratch, albeit it may run slowly",100% of projects,123553.2,SelfLearner
Male,Canada,Master's degree,1 to 2 years,"Build and/or run the data infrastructure that your business uses for storing, analyzing, and operationalizing data","Enough to code it again from scratch, albeit it may run slowly",26-50% of projects,88958.304,ClassroomLearner
Male,Canada,Doctoral degree,6 to 10 years,Build prototypes to explore applying machine learning to new areas,Enough to code it from scratch and it will run blazingly fast and be super efficient,100% of projects,98842.56,MixLearner
Male,Canada,Master's degree,3 to 5 years,Analyze and understand data to influence product or business decisions,Enough to explain the algorithm to someone non-technical,51-75% of projects,70013.48,MixLearner
Male,Canada,Doctoral degree,6 to 10 years,Other,"Enough to code it again from scratch, albeit it may run slowly",Less than 10% of projects,28829.08,SelfLearner
Male,Canada,I did not complete any formal education past high school,More than 10 years,Analyze and understand data to influence product or business decisions,Enough to explain the algorithm to someone non-technical,51-75% of projects,74131.92,SelfLearner
Male,Canada,Master's degree,1 to 2 years,Build prototypes to explore applying machine learning to new areas,"Enough to code it again from scratch, albeit it may run slowly",76-99% of projects,53539.72,ClassroomLearner
Female,Canada,Master's degree,Less than a year,Analyze and understand data to influence product or business decisions,Enough to explain the algorithm to someone non-technical,100% of projects,24710.64,ClassroomLearner
Male,Canada,Bachelor's degree,6 to 10 years,Analyze and understand data to influence product or business decisions,Enough to explain the algorithm to someone non-technical,51-75% of projects,65895.04,SelfLearner
Male,Canada,Bachelor's degree,1 to 2 years,Build and/or run a machine learning service that operationally improves your product or workflows,Enough to explain the algorithm to someone non-technical,Less than 10% of projects,123553.2,ClassroomLearner
Male,Canada,Bachelor's degree,1 to 2 years,Analyze and understand data to influence product or business decisions,Enough to explain the algorithm to someone non-technical,10-25% of projects,55187.096,ClassroomLearner
Male,Canada,Bachelor's degree,3 to 5 years,Build and/or run a machine learning service that operationally improves your product or workflows,"Enough to code it again from scratch, albeit it may run slowly",26-50% of projects,65895.04,SelfLearner
Male,Canada,Master's degree,1 to 2 years,Analyze and understand data to influence product or business decisions,Enough to tune the parameters properly,51-75% of projects,65895.04,ClassroomLearner
Male,Canada,Doctoral degree,More than 10 years,Other,Enough to refine and innovate on the algorithm,10-25% of projects,107079.44,MixLearner
Male,Canada,Master's degree,3 to 5 years,Build prototypes to explore applying machine learning to new areas,"Enough to code it again from scratch, albeit it may run slowly",100% of projects,102961,MixLearner
Female,Canada,Master's degree,3 to 5 years,Other,"Enough to code it again from scratch, albeit it may run slowly",76-99% of projects,17695.2893,JobLearner
Male,Canada,Doctoral degree,More than 10 years,Build prototypes to explore applying machine learning to new areas,Enough to tune the parameters properly,26-50% of projects,123553.2,ClassroomLearner
Female,Canada,Doctoral degree,6 to 10 years,Other,"Enough to code it again from scratch, albeit it may run slowly",100% of projects,61776.6,ClassroomLearner
Male,Canada,Master's degree,1 to 2 years,"Build and/or run the data infrastructure that your business uses for storing, analyzing, and operationalizing data",Enough to explain the algorithm to someone non-technical,None,84839.864,SelfLearner
Male,Canada,Master's degree,6 to 10 years,Analyze and understand data to influence product or business decisions,Enough to explain the algorithm to someone non-technical,Less than 10% of projects,87310.928,SelfLearner
Male,Canada,Master's degree,1 to 2 years,Build prototypes to explore applying machine learning to new areas,Enough to explain the algorithm to someone non-technical,26-50% of projects,41184.4,MixLearner
Male,Canada,I did not complete any formal education past high school,More than 10 years,"Build and/or run the data infrastructure that your business uses for storing, analyzing, and operationalizing data",Enough to run the code / standard library,None,164737.6,ClassroomLearner
Male,Canada,Doctoral degree,6 to 10 years,Analyze and understand data to influence product or business decisions,"Enough to code it again from scratch, albeit it may run slowly",100% of projects,123553.2,MixLearner
