GenderSelect,Country,FormalEducation,Tenure,JobFunctionSelect,AlgorithmUnderstandingLevel,WorkDataVisualizations,CompensationUSD,LearningStyle
Male,United States,Master's degree,More than 10 years,Analyze and understand data to influence product or business decisions,Enough to refine and innovate on the algorithm,100% of projects,250000,MixLearner
Male,United States,Bachelor's degree,3 to 5 years,Research that advances the state of the art of machine learning,Enough to refine and innovate on the algorithm,76-99% of projects,20000,ClassroomLearner
Male,United States,Doctoral degree,Less than a year,"Build and/or run the data infrastructure that your business uses for storing, analyzing, and operationalizing data",Enough to tune the parameters properly,Less than 10% of projects,100000,SelfLearner
Male,United States,Doctoral degree,3 to 5 years,Analyze and understand data to influence product or business decisions,Enough to explain the algorithm to someone non-technical,51-75% of projects,133000,MixLearner
Male,Sweden,Master's degree,More than 10 years,Research that advances the state of the art of machine learning,Enough to refine and innovate on the algorithm,100% of projects,80000,JobLearner
Male,Iran,Doctoral degree,1 to 2 years,Build and/or run a machine learning service that operationally improves your product or workflows,Enough to explain the algorithm to someone non-technical,Less than 10% of projects,15000,MixLearner
Male,United States,Doctoral degree,More than 10 years,Other,"Enough to code it again from scratch, albeit it may run slowly",Less than 10% of projects,215000,SelfLearner
Female,United States,Doctoral degree,6 to 10 years,Analyze and understand data to influence product or business decisions,Enough to explain the algorithm to someone non-technical,100% of projects,83500,MixLearner
Female,United States,Master's degree,1 to 2 years,Analyze and understand data to influence product or business decisions,Enough to explain the algorithm to someone non-technical,10-25% of projects,115000,ClassroomLearner
Female,United States,Bachelor's degree,1 to 2 years,Analyze and understand data to influence product or business decisions,Enough to explain the algorithm to someone non-technical,76-99% of projects,80000,ClassroomLearner
Male,United States,Doctoral degree,More than 10 years,Build and/or run a machine learning service that operationally improves your product or workflows,Enough to refine and innovate on the algorithm,76-99% of projects,135000,JobLearner
Male,United States,Master's degree,1 to 2 years,Analyze and understand data to influence product or business decisions,Enough to explain the algorithm to someone non-technical,100% of projects,75000,ClassroomLearner
Male,United States,Master's degree,More than 10 years,Other,Enough to explain the algorithm to someone non-technical,76-99% of projects,65000,ClassroomLearner
Male,United States,Doctoral degree,6 to 10 years,"Build and/or run the data infrastructure that your business uses for storing, analyzing, and operationalizing data","Enough to code it again from scratch, albeit it may run slowly",51-75% of projects,130000,MixLearner
Male,United States,Bachelor's degree,Less than a year,Other,Enough to run the code / standard library,10-25% of projects,55000,JobLearner
A different identity,Canada,Bachelor's degree,3 to 5 years,Build prototypes to explore applying machine learning to new areas,Enough to refine and innovate on the algorithm,100% of projects,85000,SelfLearner
Female,United States,Master's degree,More than 10 years,Build prototypes to explore applying machine learning to new areas,Enough to explain the algorithm to someone non-technical,76-99% of projects,92000,MixLearner
Female,United States,Master's degree,3 to 5 years,Analyze and understand data to influence product or business decisions,"Enough to code it again from scratch, albeit it may run slowly",76-99% of projects,79000,MixLearner
Male,United States,Doctoral degree,More than 10 years,Build prototypes to explore applying machine learning to new areas,Enough to refine and innovate on the algorithm,Less than 10% of projects,305000,SelfLearner
Male,United States,Doctoral degree,More than 10 years,Build prototypes to explore applying machine learning to new areas,Enough to explain the algorithm to someone non-technical,76-99% of projects,250000,SelfLearner
Male,United States,Doctoral degree,6 to 10 years,Build prototypes to explore applying machine learning to new areas,Enough to explain the algorithm to someone non-technical,100% of projects,90000,MixLearner
Male,United States,Master's degree,More than 10 years,Build prototypes to explore applying machine learning to new areas,Enough to explain the algorithm to someone non-technical,100% of projects,140000,MixLearner
Male,United States,Doctoral degree,More than 10 years,Research that advances the state of the art of machine learning,Enough to refine and innovate on the algorithm,Less than 10% of projects,160000,MixLearner
Male,United States,Bachelor's degree,1 to 2 years,Other,Enough to explain the algorithm to someone non-technical,76-99% of projects,25000,SelfLearner
Male,Belarus,Master's degree,1 to 2 years,Research that advances the state of the art of machine learning,Enough to tune the parameters properly,10-25% of projects,25000,MixLearner
Female,United States,Master's degree,6 to 10 years,Build prototypes to explore applying machine learning to new areas,Enough to explain the algorithm to someone non-technical,100% of projects,80000,JobLearner
Male,United States,Bachelor's degree,6 to 10 years,"Build and/or run the data infrastructure that your business uses for storing, analyzing, and operationalizing data",Enough to explain the algorithm to someone non-technical,10-25% of projects,85000,SelfLearner
Male,United States,I prefer not to answer,6 to 10 years,Build and/or run a machine learning service that operationally improves your product or workflows,Enough to code it from scratch and it will run blazingly fast and be super efficient,26-50% of projects,180000,ClassroomLearner
Male,United States,Master's degree,1 to 2 years,"Build and/or run the data infrastructure that your business uses for storing, analyzing, and operationalizing data","Enough to code it again from scratch, albeit it may run slowly",Less than 10% of projects,80000,ClassroomLearner
Male,Canada,Bachelor's degree,1 to 2 years,Build prototypes to explore applying machine learning to new areas,Enough to explain the algorithm to someone non-technical,10-25% of projects,90000,ClassroomLearner
Male,Other,Some college/university study without earning a bachelor's degree,1 to 2 years,Analyze and understand data to influence product or business decisions,Enough to run the code / standard library,51-75% of projects,39000,ClassroomLearner
Male,United States,Bachelor's degree,Less than a year,Build prototypes to explore applying machine learning to new areas,Enough to explain the algorithm to someone non-technical,10-25% of projects,180000,MixLearner
Male,United States,Master's degree,3 to 5 years,Analyze and understand data to influence product or business decisions,"Enough to code it again from scratch, albeit it may run slowly",10-25% of projects,155000,SelfLearner
Male,United States,Doctoral degree,More than 10 years,Build prototypes to explore applying machine learning to new areas,Enough to refine and innovate on the algorithm,26-50% of projects,170075,MixLearner
Male,Czech Republic,Master's degree,3 to 5 years,"Build and/or run the data infrastructure that your business uses for storing, analyzing, and operationalizing data",Enough to explain the algorithm to someone non-technical,10-25% of projects,36000,MixLearner
Male,United States,Doctoral degree,6 to 10 years,Analyze and understand data to influence product or business decisions,"Enough to code it again from scratch, albeit it may run slowly",100% of projects,49000,SelfLearner
Male,Russia,Bachelor's degree,3 to 5 years,Build prototypes to explore applying machine learning to new areas,"Enough to code it again from scratch, albeit it may run slowly",51-75% of projects,18000,SelfLearner
Female,United States,Bachelor's degree,Less than a year,Analyze and understand data to influence product or business decisions,Enough to tune the parameters properly,26-50% of projects,65000,JobLearner
Male,United States,Bachelor's degree,3 to 5 years,"Build and/or run the data infrastructure that your business uses for storing, analyzing, and operationalizing data",Enough to explain the algorithm to someone non-technical,Less than 10% of projects,115000,SelfLearner
Male,United States,Professional degree,1 to 2 years,Build and/or run a machine learning service that operationally improves your product or workflows,"Enough to code it again from scratch, albeit it may run slowly",100% of projects,135000,ClassroomLearner
Male,United States,Master's degree,1 to 2 years,Analyze and understand data to influence product or business decisions,Enough to explain the algorithm to someone non-technical,51-75% of projects,40000,ClassroomLearner
A different identity,United States,Master's degree,More than 10 years,"Build and/or run the data infrastructure that your business uses for storing, analyzing, and operationalizing data",Enough to explain the algorithm to someone non-technical,100% of projects,135000,JobLearner
Female,United States,Master's degree,3 to 5 years,Analyze and understand data to influence product or business decisions,Enough to explain the algorithm to someone non-technical,76-99% of projects,50000,ClassroomLearner
Male,United States,Bachelor's degree,6 to 10 years,Build prototypes to explore applying machine learning to new areas,"Enough to code it again from scratch, albeit it may run slowly",100% of projects,470000,MixLearner
Male,Ukraine,Master's degree,1 to 2 years,Analyze and understand data to influence product or business decisions,Enough to explain the algorithm to someone non-technical,10-25% of projects,17200,ClassroomLearner
Male,United States,Doctoral degree,More than 10 years,Build prototypes to explore applying machine learning to new areas,"Enough to code it again from scratch, albeit it may run slowly",76-99% of projects,150000,JobLearner
Female,United States,Master's degree,More than 10 years,Research that advances the state of the art of machine learning,Enough to refine and innovate on the algorithm,Less than 10% of projects,130000,MixLearner
Male,United States,Master's degree,1 to 2 years,Analyze and understand data to influence product or business decisions,Enough to explain the algorithm to someone non-technical,100% of projects,60000,ClassroomLearner
Male,United States,Bachelor's degree,6 to 10 years,Build and/or run a machine learning service that operationally improves your product or workflows,Enough to explain the algorithm to someone non-technical,10-25% of projects,178000,SelfLearner
Male,United States,Bachelor's degree,More than 10 years,Other,"Enough to code it again from scratch, albeit it may run slowly",76-99% of projects,100000,SelfLearner
Male,United States,Doctoral degree,3 to 5 years,Analyze and understand data to influence product or business decisions,Enough to explain the algorithm to someone non-technical,10-25% of projects,150000,MixLearner
Male,United States,Master's degree,1 to 2 years,Build prototypes to explore applying machine learning to new areas,Enough to explain the algorithm to someone non-technical,51-75% of projects,85000,SelfLearner
Male,United States,Bachelor's degree,More than 10 years,Analyze and understand data to influence product or business decisions,Enough to run the code / standard library,26-50% of projects,107000,SelfLearner
Male,United States,Master's degree,3 to 5 years,Analyze and understand data to influence product or business decisions,"Enough to code it again from scratch, albeit it may run slowly",51-75% of projects,40000,ClassroomLearner
Male,United States,Bachelor's degree,1 to 2 years,Build and/or run a machine learning service that operationally improves your product or workflows,Enough to explain the algorithm to someone non-technical,26-50% of projects,67500,SelfLearner
Male,United States,Bachelor's degree,1 to 2 years,Analyze and understand data to influence product or business decisions,Enough to explain the algorithm to someone non-technical,76-99% of projects,58000,ClassroomLearner
Male,United States,Bachelor's degree,1 to 2 years,Build prototypes to explore applying machine learning to new areas,Enough to run the code / standard library,51-75% of projects,100000,ClassroomLearner
Male,Other,Bachelor's degree,3 to 5 years,Analyze and understand data to influence product or business decisions,Enough to explain the algorithm to someone non-technical,10-25% of projects,25000,MixLearner
Male,United States,Master's degree,6 to 10 years,Analyze and understand data to influence product or business decisions,"Enough to code it again from scratch, albeit it may run slowly",10-25% of projects,105000,MixLearner
Male,United States,Master's degree,More than 10 years,Analyze and understand data to influence product or business decisions,Enough to refine and innovate on the algorithm,100% of projects,200000,SelfLearner
Male,United States,Master's degree,1 to 2 years,Other,Enough to explain the algorithm to someone non-technical,100% of projects,60000,SelfLearner
Male,United States,Master's degree,3 to 5 years,Build and/or run a machine learning service that operationally improves your product or workflows,Enough to explain the algorithm to someone non-technical,26-50% of projects,125000,SelfLearner
Male,United States,Master's degree,1 to 2 years,Other,Enough to run the code / standard library,51-75% of projects,70000,SelfLearner
Male,United States,Bachelor's degree,3 to 5 years,Build and/or run a machine learning service that operationally improves your product or workflows,Enough to explain the algorithm to someone non-technical,100% of projects,78000,SelfLearner
Male,Russia,Doctoral degree,3 to 5 years,Build and/or run a machine learning service that operationally improves your product or workflows,Enough to refine and innovate on the algorithm,26-50% of projects,65000,JobLearner
Male,United States,Master's degree,3 to 5 years,Build prototypes to explore applying machine learning to new areas,Enough to explain the algorithm to someone non-technical,51-75% of projects,77000,MixLearner
Male,United States,Bachelor's degree,Less than a year,Analyze and understand data to influence product or business decisions,Enough to run the code / standard library,76-99% of projects,35000,SelfLearner
Male,United States,Doctoral degree,6 to 10 years,Build and/or run a machine learning service that operationally improves your product or workflows,"Enough to code it again from scratch, albeit it may run slowly",26-50% of projects,121000,SelfLearner
Male,South Korea,Doctoral degree,1 to 2 years,Research that advances the state of the art of machine learning,Enough to run the code / standard library,Less than 10% of projects,80000,MixLearner
Male,United States,Bachelor's degree,1 to 2 years,Analyze and understand data to influence product or business decisions,Enough to run the code / standard library,76-99% of projects,85000,ClassroomLearner
Male,United States,Master's degree,1 to 2 years,Analyze and understand data to influence product or business decisions,Enough to run the code / standard library,76-99% of projects,59000,ClassroomLearner
Male,United States,Bachelor's degree,3 to 5 years,Build and/or run a machine learning service that operationally improves your product or workflows,"Enough to code it again from scratch, albeit it may run slowly",10-25% of projects,94000,MixLearner
Male,United States,Master's degree,More than 10 years,Build and/or run a machine learning service that operationally improves your product or workflows,Enough to explain the algorithm to someone non-technical,10-25% of projects,80000,MixLearner
Female,United States,Bachelor's degree,1 to 2 years,Analyze and understand data to influence product or business decisions,Enough to tune the parameters properly,None,75000,ClassroomLearner
